Name,Country,State/Province/Region,City,Bio / Focus,Primary Platform,Primary Handle,Instagram Handle,Instagram Followers,TikTok Handle,TikTok Followers,YouTube Handle,YouTube Subscribers,Other Socials,Combined Audience Proxy,Average Views / Reach Metric,Engagement Rate,Starting Price,Currency,Pricing Status,Avatar URL,Cover URL,Primary Profile URL,Source URL,Source Updated,Notes
Cza,Uganda,,,Creator focused on fitness.,Instagram,@cza_the_trainer,@cza_the_trainer,"12,500",,,,,,"12,500",,,,UGX,Request quote / not publicly verified,,,https://www.instagram.com/cza_the_trainer/,https://influencers.feedspot.com/uganda_instagram_influencers/,2026-08-19,Fitness coach/content creator.
Zero Brainer,Tanzania,,,Creator focused on sports content.,Instagram,@zerobrainer0,@zerobrainer0,"7,300,000",,,,,,"7,300,000","365,900",,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/zerobrainer0/,https://www.upgrow.com/find-influencers/tanzania,2026-08-24,Sports-content creator.
Minggl Gaming,Tanzania,,,Creator focused on gaming.,Instagram,@mingglgaming,@mingglgaming,"2,000,000",,,,,,"2,000,000","99,700",,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/mingglgaming/,https://www.upgrow.com/find-influencers/tanzania,2026-08-24,Gaming creator.
Yasir Nassor,Tanzania,,,Creator focused on mobile photography / editing.,Instagram,@yasirnassor,@yasirnassor,"184,900",,,,,,"184,900","8,200",,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/yasirnassor/,https://www.upgrow.com/find-influencers/tanzania,2026-08-24,Mobile photography/editing creator.
Nuru Vaz,Tanzania,,,Creator focused on lifestyle / social impact.,Instagram,@nuruvazi,@nuruvazi,"457,900",@nuruvazi01,,NURUVAZI,,TikTok: @nuruvazi01; YouTube: NURUVAZI,"457,900",,,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/nuruvazi/,https://influencers.feedspot.com/tanzania_instagram_influencers/,2026-08-19,TikTok @nuruvazi01; YouTube NURUVAZI.
Shukuru,Tanzania,,,Creator focused on landscaping / gardening.,Instagram,@shukuru_landscaping,@shukuru_landscaping,"112,000",,,,,,"112,000",,,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/shukuru_landscaping/,https://influencers.feedspot.com/tanzania_instagram_influencers/,2026-08-19,Landscaping/gardening creator.
Lodrick Nswima,Tanzania,,,Creator focused on tech / gadgets.,Instagram,@appletechgadgetz,@appletechgadgetz,"59,800",,,,,,"59,800",,,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/appletechgadgetz/,https://influencers.feedspot.com/tanzania_instagram_influencers/,2026-08-19,Apple tech/gadget creator.
Sophia Abdy,Tanzania,,,Creator focused on beauty / lifestyle.,Instagram,@_beingrahma,@_beingrahma,"3,900",,,,,,"3,900",,,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/_beingrahma/,https://influencers.feedspot.com/tanzania_instagram_influencers/,2026-08-19,Beauty/lifestyle creator.
Arina Velikova,Tanzania,Zanzibar,Zanzibar,Creator focused on travel / island life.,Instagram,@arinavelikova,@arinavelikova,"45,000",,,,,,"45,000",,,,TZS,Request quote / not publicly verified,,,https://www.instagram.com/arinavelikova/,https://influencers.feedspot.com/tanzania_travel_instagram_influencers/,2026-08-19,Zanzibar digital tour guide/travel creator.
Mama Buryohe,Rwanda,,,Creator focused on food / lifestyle.,TikTok,@mamaburyohe,,,@mamaburyohe,"244,800",,,,"244,800","199,800",6.09%,,RWF,Request quote / not publicly verified,,,https://www.tiktok.com/@mamaburyohe,https://www.modash.io/find-influencers/tiktok/rwanda,2026-06-08,Food/lifestyle creator.
Burikantu,Rwanda,,,Creator focused on short-form entertainment.,TikTok,@burikantu,,,@burikantu,"458,500",,,,"458,500","179,800",8.88%,,RWF,Request quote / not publicly verified,,,https://www.tiktok.com/@burikantu,https://www.modash.io/find-influencers/tiktok/rwanda,2026-06-08,TikTok-first creator.
Junior Giti,Rwanda,,,Creator focused on family / business / real estate.,TikTok,@junior_giti1,,,@junior_giti1,"144,400",,,,"144,400","170,000",9.18%,,RWF,Request quote / not publicly verified,,,https://www.tiktok.com/@junior_giti1,https://www.modash.io/find-influencers/tiktok/rwanda,2026-06-08,Family/business/real-estate creator.
RAMBA Life,Rwanda,,,Creator focused on animation / visual creativity.,TikTok,@rambalife,,,@rambalife,"35,400",,,,"35,400","145,800",5.11%,,RWF,Request quote / not publicly verified,,,https://www.tiktok.com/@rambalife,https://www.modash.io/find-influencers/tiktok/rwanda,2026-06-08,Animation/visual concepts creator.
Elka Rutabana Mylene,Rwanda,,,Creator focused on food / family / lifestyle.,TikTok,@elkarutabanamylen,,,@elkarutabanamylen,"123,500",,,,"123,500","59,500",8.90%,,RWF,Request quote / not publicly verified,,,https://www.tiktok.com/@elkarutabanamylen,https://www.modash.io/find-influencers/tiktok/rwanda,2026-06-08,Food/family/lifestyle/vlog creator.
Mai Maher,Egypt,,,Creator focused on food / travel.,Instagram,@maimaher7,@maimaher7,"1,900,000",@maimaherrr7,,,,Facebook: maimaher; TikTok: @maimaherrr7; Snapchat: maimaher777,"1,900,000",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/maimaher7/,https://influencers.feedspot.com/egypt_food_instagram_influencers/,2026-08-19,Other socials: Facebook maimaher; TikTok @maimaherrr7; Snapchat maimaher777. Source bio says 5.5M total.
Nada Tarek,Egypt,Cairo,Cairo,Creator focused on food.,Instagram,@thro_nadasfoodie,@thro_nadasfoodie,"324,800",,,,,,"324,800",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/thro_nadasfoodie/,https://influencers.feedspot.com/egypt_food_instagram_influencers/,2026-08-19,Cairo food creator.
Banoura,Egypt,Cairo,Cairo,Creator focused on food / restaurants.,Instagram,@banoura.eats,@banoura.eats,"444,800",,,,,,"444,800",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/banoura.eats/,https://influencers.feedspot.com/egypt_food_instagram_influencers/,2026-08-19,Cairo food creator.
Esraa Sobhy,Egypt,,,Creator focused on food / wellness.,Instagram,@eatwizesraa,@eatwizesraa,"413,500",,,,,,"413,500",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/eatwizesraa/,https://influencers.feedspot.com/egypt_food_instagram_influencers/,2026-08-19,Food creator.
Mustafa Esmael,Egypt,,,Creator focused on tech.,Instagram,@imustafaesmael,@imustafaesmael,"1,600,000",,,,,,"1,600,000",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/imustafaesmael/,https://influencers.feedspot.com/egypt_tech_instagram_influencers/,2026-08-19,Tech creator; source bio reports 2.7M+ total audience.
Tarek Adel,Egypt,,,Creator focused on tech.,Instagram,@tarekadel.tech,@tarekadel.tech,"297,600",,,,,,"297,600",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/tarekadel.tech/,https://influencers.feedspot.com/egypt_tech_instagram_influencers/,2026-08-19,Tech creator.
Yehia Radwan,Egypt,,,Creator focused on tech.,Instagram,@yehiaradwanofficial,@yehiaradwanofficial,"296,500",,,,"2,000,000",,"2,296,500",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/yehiaradwanofficial/,https://influencers.feedspot.com/egypt_tech_instagram_influencers/,2026-08-19,Source bio reports 2M+ YouTube subscribers; exact YT handle not exposed.
Abdelrahman Hamza,Egypt,,,Creator focused on tech.,Instagram,@tech_hamzater,@tech_hamzater,"265,100",,,,,,"265,100",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/tech_hamzater/,https://influencers.feedspot.com/egypt_tech_instagram_influencers/,2026-08-19,Tech creator.
Ammar Homossany,Egypt,,,Creator focused on travel.,Instagram,@homossany,@homossany,"303,900",,,,,,"303,900",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/homossany/,https://influencers.feedspot.com/egypt_instagram_influencers/,2026-08-19,Travel creator.
Ahmed (Gaming3arbi),Egypt,,,Creator focused on gaming.,Instagram,@gaming3arbi,@gaming3arbi,"57,000",,,,,,"57,000",,,,EGP,Request quote / not publicly verified,,,https://www.instagram.com/gaming3arbi/,https://influencers.feedspot.com/egypt_gaming_instagram_influencers/,2026-08-19,Gaming creator.
Asmae Mouzouna,Morocco,,,Creator focused on beauty.,Instagram,@asmaabeautychannel,@asmaabeautychannel,"2,400,000",,,,,,"2,400,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/asmaabeautychannel/,https://influencers.feedspot.com/morocco_beauty_instagram_influencers/,2026-08-19,Beauty creator.
Salma El Mejdoubi,Morocco,Tangier-Tétouan-Al Hoceïma,Tangier,Creator focused on lifestyle / fashion / beauty.,Instagram,@salmita_corita1,@salmita_corita1,"1,500,000",,,,,,"1,500,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/salmita_corita1/,https://influencers.feedspot.com/morocco_beauty_instagram_influencers/,2026-08-19,Lifestyle/fashion/beauty creator.
Fadwa Fakhari,Morocco,Casablanca-Settat,Casablanca,Creator focused on beauty / skincare / lifestyle.,Instagram,@fadwa.fakhari,@fadwa.fakhari,"1,400,000",,,,,,"1,400,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/fadwa.fakhari/,https://influencers.feedspot.com/morocco_beauty_instagram_influencers/,2026-08-19,Beauty/skincare/lifestyle creator.
Lamiae Elhari,Morocco,,,Creator focused on lifestyle / beauty / vlogs.,Instagram,@lamia.e.lhari,@lamia.e.lhari,"1,300,000",,,,,,"1,300,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/lamia.e.lhari/,https://influencers.feedspot.com/morocco_beauty_instagram_influencers/,2026-08-19,Lifestyle/beauty creator; source references YouTube vlogs.
Fatine Badi,Morocco,,,Creator focused on food.,Instagram,@cooking_by_fatine,@cooking_by_fatine,"4,500,000",,,,,,"4,500,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/cooking_by_fatine/,https://influencers.feedspot.com/moroccan_food_instagram_influencers/,2026-08-19,Food/recipe creator.
Halima Choujaa,Morocco,,,Creator focused on food.,Instagram,@cuisine_halima__filali,@cuisine_halima__filali,"2,600,000",,,,"7,000,000",,"9,600,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/cuisine_halima__filali/,https://influencers.feedspot.com/moroccan_food_instagram_influencers/,2026-08-19,Source bio reports 7M YouTube subscribers; exact YT handle not exposed.
Imane Ait Lhadj,Morocco,,,Creator focused on food / lifestyle.,Instagram,@imane_adinar,@imane_adinar,"2,100,000",,"1,000,000",,,,"3,100,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/imane_adinar/,https://influencers.feedspot.com/moroccan_food_instagram_influencers/,2026-08-19,Source bio reports 1M+ TikTok audience; exact TT handle not exposed.
El Mehdi CHTIWI,Morocco,,,Creator focused on food / restaurant discovery.,Instagram,@mehdi_tastediscovery,@mehdi_tastediscovery,"1,600,000",,,,,,"1,600,000",,,,MAD,Request quote / not publicly verified,,,https://www.instagram.com/mehdi_tastediscovery/,https://influencers.feedspot.com/moroccan_food_instagram_influencers/,2026-08-19,North Africa food creator.
Vénus Ndour,Senegal,,,Creator focused on fashion / beauty / lifestyle.,Instagram,@thevenusss_,@thevenusss_,"139,000",,,,,,"139,000","48,400",28.59%,,XOF,Request quote / not publicly verified,,,https://www.instagram.com/thevenusss_/,https://www.modash.io/find-influencers/senegal,2026-07,Fashion/beauty/lifestyle creator.
Fatima (PrettyTima),Senegal,,,Creator focused on beauty / hair / lifestyle.,Instagram,@_prettytima,@_prettytima,"105,400",,,,,,"105,400","25,300",19.38%,,XOF,Request quote / not publicly verified,,,https://www.instagram.com/_prettytima/,https://www.modash.io/find-influencers/senegal/beauty,2026-07,Beauty/hair/lifestyle creator.
Sokhna Ndour,Senegal,,,Creator focused on beauty / lifestyle / tech.,Instagram,@sokhna_ndourr,@sokhna_ndourr,"51,100",,,,,,"51,100","43,800",3.20%,,XOF,Request quote / not publicly verified,,,https://www.instagram.com/sokhna_ndourr/,https://www.modash.io/find-influencers/senegal/beauty,2026-07,Beauty/lifestyle/tech creator.
Linguere Fallprio,Senegal,,,Creator focused on lifestyle / fashion / beauty / interiors.,Instagram,@linguere.fallprio,@linguere.fallprio,"323,000",,,,,,"323,000",,1.88%,,XOF,Request quote / not publicly verified,,,https://www.instagram.com/linguere.fallprio/,https://hiveinfluence.io/top-influencers/instagram/beauty/senegal,2026-08,Lifestyle/fashion/beauty/interiors creator.
Baee Antaaah,Senegal,,,Creator focused on beauty / lifestyle.,TikTok,@bae_antaah,,,@bae_antaah,"1,600,000",,,,"1,600,000",,,,XOF,Request quote / not publicly verified,,,https://www.tiktok.com/@bae_antaah,https://hiveinfluence.io/top-influencers/tiktok/beauty/senegal,2026-08,TikTok-first beauty/lifestyle creator.
Dou King,Senegal,,,Creator focused on comedy / challenges / reactions.,TikTok,@douu_king,,,@douu_king,"1,700,000",,"240,000",,"1,940,000",,,,XOF,Request quote / not publicly verified,,,https://www.tiktok.com/@douu_king,https://www.famousbirthdays.com/people/dou-king.html,2026-08,Source reports ~240K YouTube subscribers; exact YT handle not supplied.
Jordan Hersey,Côte d'Ivoire,,,Creator focused on fashion / accessories.,TikTok,@jordanherseyyy,,,@jordanherseyyy,"1,300,000",,,,"1,300,000",,6.10%,,XOF,Request quote / not publicly verified,,,https://www.tiktok.com/@jordanherseyyy,https://starngage.com/app/in/influencer/ranking/tiktok/cote-d-ivoire,2026-07,Fashion/accessories creator.
Mélanie,Côte d'Ivoire,,,Creator focused on short-form lifestyle.,TikTok,@melanie.tms,,,@melanie.tms,"1,200,000",,,,"1,200,000",,,,XOF,Request quote / not publicly verified,,,https://www.tiktok.com/@melanie.tms,https://starngage.com/app/in/influencer/ranking/tiktok/cote-d-ivoire,2026-07,Short-form creator; niche kept broad.
Observateur,Côte d'Ivoire,,,Creator focused on comedy / commentary.,TikTok,@observateur.ebene,,,@observateur.ebene,"860,900",,,,"860,900",,,,XOF,Request quote / not publicly verified,,,https://www.tiktok.com/@observateur.ebene,https://starngage.com/app/in/influencer/ranking/tiktok/cote-d-ivoire,2026-07,Comedy/commentary creator.
MotivMyself,Côte d'Ivoire,,,Creator focused on motivation / short-form.,TikTok,@motivmyself,,,@motivmyself,"712,600",,,,"712,600",,,,XOF,Request quote / not publicly verified,,,https://www.tiktok.com/@motivmyself,https://starngage.com/app/in/influencer/ranking/tiktok/cote-d-ivoire,2026-07,Motivational content creator.
IVK,Côte d'Ivoire,,,Creator focused on entertainment / education.,TikTok,@ivoriankid,,,@ivoriankid,"704,500",,,,"704,500",,4.70%,,XOF,Request quote / not publicly verified,,,https://www.tiktok.com/@ivoriankid,https://starngage.com/app/in/influencer/ranking/tiktok/cote-d-ivoire,2026-07,Entertainment/education creator.
Yasmine Fofana,Côte d'Ivoire,Abidjan Autonomous District,Abidjan,Creator focused on food / travel.,Instagram,@afrofoodie,@afrofoodie,"148,700",,,,,,"148,700",,,,XOF,Request quote / not publicly verified,,,https://www.instagram.com/afrofoodie/,https://influencers.feedspot.com/african_food_instagram_influencers/,2026-08-19,Food/travel creator with Abidjan-focused content.
David Lord,Cameroon,,,Creator focused on short-form entertainment.,TikTok,@davidlord09_king1,,,@davidlord09_king1,"1,100,000",,,,"1,100,000",,0.20%,,XAF,Request quote / not publicly verified,,,https://www.tiktok.com/@davidlord09_king1,https://starngage.com/app/in/influencer/ranking/tiktok/cameroon,2026-07,TikTok-first creator; niche kept broad.
Ella & Cliff,Cameroon,,,Creator focused on lifestyle / short-form.,TikTok,@ellarose_yuyun,,,@ellarose_yuyun,"999,200",,,,"999,200",,,,XAF,Request quote / not publicly verified,,,https://www.tiktok.com/@ellarose_yuyun,https://starngage.com/app/in/influencer/ranking/tiktok/cameroon,2026-07,Social-media-native creator account.
Carlos Mbingo,Cameroon,,,Creator focused on short-form entertainment.,TikTok,@caramyy1,,,@caramyy1,"859,500",,,,"859,500",,,,XAF,Request quote / not publicly verified,,,https://www.tiktok.com/@caramyy1,https://starngage.com/app/in/influencer/ranking/tiktok/cameroon,2026-07,TikTok-first creator.
Rosine,Cameroon,,,Creator focused on lifestyle / short-form.,TikTok,@rosineofficiel.0,,,@rosineofficiel.0,"728,200",,,,"728,200",,,,XAF,Request quote / not publicly verified,,,https://www.tiktok.com/@rosineofficiel.0,https://starngage.com/app/in/influencer/ranking/tiktok/cameroon,2026-07,Short-form lifestyle creator.
Denise,Cameroon,,,Creator focused on short-form lifestyle.,TikTok,@ctrldenise,,,@ctrldenise,"513,800",,,,"513,800",,,,XAF,Request quote / not publicly verified,,,https://www.tiktok.com/@ctrldenise,https://starngage.com/app/in/influencer/ranking/tiktok/cameroon,2026-07,TikTok-first lifestyle creator.
